STATION,NAME,DATE,PRCP,SNOW
USC00368449,"STATE COLLEGE, PA US",1/1/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/2/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/3/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/4/1922,0.23,0
USC00368449,"STATE COLLEGE, PA US",1/5/1922,0.08,0
USC00368449,"STATE COLLEGE, PA US",1/6/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/7/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/8/1922,0.04,0
USC00368449,"STATE COLLEGE, PA US",1/9/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/10/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/11/1922,1.02,15
USC00368449,"STATE COLLEGE, PA US",1/12/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/13/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/14/1922,0.17,2
USC00368449,"STATE COLLEGE, PA US",1/15/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/16/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/17/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/18/1922,0.03,0
USC00368449,"STATE COLLEGE, PA US",1/19/1922,0.01,0
USC00368449,"STATE COLLEGE, PA US",1/20/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/21/1922,0.44,0
USC00368449,"STATE COLLEGE, PA US",1/22/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/23/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/24/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/25/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/26/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/27/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/28/1922,0.18,2
USC00368449,"STATE COLLEGE, PA US",1/29/1922,0.12,0.8
USC00368449,"STATE COLLEGE, PA US",1/30/1922,0,0
USC00368449,"STATE COLLEGE, PA US",1/31/1922,0,0
USC00368449,"STATE COLLEGE, PA US",2/1/1922,,
USC00368449,"STATE COLLEGE, PA US",2/2/1922,0.25,
USC00368449,"STATE COLLEGE, PA US",2/3/1922,,
USC00368449,"STATE COLLEGE, PA US",2/4/1922,0,0
USC00368449,"STATE COLLEGE, PA US",2/5/1922,0,0
USC00368449,"STATE COLLEGE, PA US",2/6/1922,0.02,0
USC00368449,"STATE COLLEGE, PA US",2/7/1922,0,0
USC00368449,"STATE COLLEGE, PA US",2/8/1922,0,0
USC00368449,"STATE COLLEGE, PA US",2/9/1922,0.03,0.3
USC00368449,"STATE COLLEGE, PA US",2/10/1922,,
USC00368449,"STATE COLLEGE, PA US",2/11/1922,0,
USC00368449,"STATE COLLEGE, PA US",2/12/1922,0.7,3
USC00368449,"STATE COLLEGE, PA US",2/13/1922,0.01,0
USC00368449,"STATE COLLEGE, PA US",2/14/1922,,
USC00368449,"STATE COLLEGE, PA US",2/15/1922,0.28,3
USC00368449,"STATE COLLEGE, PA US",2/16/1922,0,0
USC00368449,"STATE COLLEGE, PA US",2/17/1922,,
USC00368449,"STATE COLLEGE, PA US",2/18/1922,,
USC00368449,"STATE COLLEGE, PA US",2/19/1922,0.1,1
USC00368449,"STATE COLLEGE, PA US",2/20/1922,0.13,
USC00368449,"STATE COLLEGE, PA US",2/21/1922,,
USC00368449,"STATE COLLEGE, PA US",2/22/1922,,
USC00368449,"STATE COLLEGE, PA US",2/23/1922,0,
USC00368449,"STATE COLLEGE, PA US",2/24/1922,0,0
USC00368449,"STATE COLLEGE, PA US",2/25/1922,,
USC00368449,"STATE COLLEGE, PA US",2/26/1922,,
USC00368449,"STATE COLLEGE, PA US",2/27/1922,0.26,2
USC00368449,"STATE COLLEGE, PA US",2/28/1922,,
USC00368449,"STATE COLLEGE, PA US",3/1/1922,0.08,1
USC00368449,"STATE COLLEGE, PA US",3/2/1922,0.32,1.2
USC00368449,"STATE COLLEGE, PA US",3/3/1922,0,0
USC00368449,"STATE COLLEGE, PA US",3/4/1922,0.48,1
USC00368449,"STATE COLLEGE, PA US",3/5/1922,0.11,0.8
USC00368449,"STATE COLLEGE, PA US",3/6/1922,0,0
USC00368449,"STATE COLLEGE, PA US",3/7/1922,0.65,0
USC00368449,"STATE COLLEGE, PA US",3/8/1922,0,0
USC00368449,"STATE COLLEGE, PA US",3/9/1922,0,0
USC00368449,"STATE COLLEGE, PA US",3/10/1922,0,0
USC00368449,"STATE COLLEGE, PA US",3/11/1922,0.47,0
USC00368449,"STATE COLLEGE, PA US",3/12/1922,0,0
USC00368449,"STATE COLLEGE, PA US",3/13/1922,0,0
USC00368449,"STATE COLLEGE, PA US",3/14/1922,0.15,0
USC00368449,"STATE COLLEGE, PA US",3/15/1922,0,0
USC00368449,"STATE COLLEGE, PA US",3/16/1922,0,0
USC00368449,"STATE COLLEGE, PA US",3/17/1922,0,0
USC00368449,"STATE COLLEGE, PA US",3/18/1922,0,0
USC00368449,"STATE COLLEGE, PA US",3/19/1922,0,0
USC00368449,"STATE COLLEGE, PA US",3/20/1922,0.03,0
USC00368449,"STATE COLLEGE, PA US",3/21/1922,0.08,1
USC00368449,"STATE COLLEGE, PA US",3/22/1922,0,0
USC00368449,"STATE COLLEGE, PA US",3/23/1922,0,0
USC00368449,"STATE COLLEGE, PA US",3/24/1922,0.1,0
